year,month,ts,fishery,metric,units,value,se
2013,5,246,15,cpue,2,0.376019823886255,0.189466643263602
2013,8,247,15,cpue,2,0.401575044437589,0.211306113820067
2013,11,248,15,cpue,2,0.639765028989713,0.193859370480392
2014,2,249,15,cpue,2,0.715994686572358,0.167685995948211
2014,5,250,15,cpue,2,0.56063980354403,0.173716162198113
2014,8,251,15,cpue,2,0.689399978595195,0.207424177668245
2014,11,252,15,cpue,2,0.955299866485445,0.176348993239461
2015,2,253,15,cpue,2,0.898746763482845,0.156902663446206
2015,5,254,15,cpue,2,0.645191870885696,0.177680250276596
2015,8,255,15,cpue,2,0.649994523328285,0.198973158932044
2015,11,256,15,cpue,2,0.844135486945306,0.161446157311184
2016,2,257,15,cpue,2,0.677611593501729,0.179520442461125
2016,5,258,15,cpue,2,0.475446131300909,0.205757518376634
2016,8,259,15,cpue,2,0.479022435351213,0.209812278139916
2016,11,260,15,cpue,2,0.716573616206409,0.195206696127879
2017,2,261,15,cpue,2,0.5891042156916,0.170514504177842
2017,5,262,15,cpue,2,0.432830948305044,0.20053554790629
2017,8,263,15,cpue,2,0.448388881113009,0.190502194516
2017,11,264,15,cpue,2,0.570707155957522,0.187201987476501
2018,2,265,15,cpue,2,0.608003252642028,0.182606993290572
2018,5,266,15,cpue,2,0.469497132381615,0.18828069859994
2018,8,267,15,cpue,2,0.456397409717703,0.206819877749797
2018,11,268,15,cpue,2,0.520609048416624,0.191829659033441
