year,month,ts,fishery,metric,units,value,se
1964,8,51,1,catch,2,24.713,0.01
1964,11,52,1,catch,2,119.562,0.01
1965,2,53,1,catch,2,135.349,0.01
1965,5,54,1,catch,2,38.39,0.01
1965,8,55,1,catch,2,38.432,0.01
1965,11,56,1,catch,2,141.042,0.01
1966,2,57,1,catch,2,146.828,0.01
1966,5,58,1,catch,2,53.888,0.01
1966,8,59,1,catch,2,50.959,0.01
1966,11,60,1,catch,2,158.776,0.01
1967,2,61,1,catch,2,210.327,0.01
1967,5,62,1,catch,2,83.856,0.01
1967,8,63,1,catch,2,42.51,0.01
1967,11,64,1,catch,2,162.458,0.01
1968,2,65,1,catch,2,133.608,0.01
1968,5,66,1,catch,2,43.412,0.01
1968,8,67,1,catch,2,29.306,0.01
1968,11,68,1,catch,2,137.822,0.01
1969,2,69,1,catch,2,166.071,0.01
1969,5,70,1,catch,2,27.263,0.01
1969,8,71,1,catch,2,36.21,0.01
1969,11,72,1,catch,2,162.886,0.01
1970,2,73,1,catch,2,160.525,0.01
1970,5,74,1,catch,2,64.75,0.01
1970,8,75,1,catch,2,33.116,0.01
1970,11,76,1,catch,2,162.646,0.01
1971,2,77,1,catch,2,135.476,0.01
1971,5,78,1,catch,2,39.773,0.01
1971,8,79,1,catch,2,32.244,0.01
1971,11,80,1,catch,2,148.582,0.01
1972,2,81,1,catch,2,121.922,0.01
1972,5,82,1,catch,2,51.141,0.01
1972,8,83,1,catch,2,47.31,0.01
1972,11,84,1,catch,2,151.385,0.01
1973,2,85,1,catch,2,143.948,0.01
1973,5,86,1,catch,2,60.172,0.01
1973,8,87,1,catch,2,22.839,0.01
1973,11,88,1,catch,2,106.331,0.01
1974,2,89,1,catch,2,123.579,0.01
1974,5,90,1,catch,2,82.797,0.01
1974,8,91,1,catch,2,58.501,0.01
1974,11,92,1,catch,2,127.542,0.01
1975,2,93,1,catch,2,131.678,0.01
1975,5,94,1,catch,2,59.216,0.01
1975,8,95,1,catch,2,66.231,0.01
1975,11,96,1,catch,2,152.085,0.01
1976,2,97,1,catch,2,152.942,0.01
1976,5,98,1,catch,2,81.416,0.01
1976,8,99,1,catch,2,65.347,0.01
1976,11,100,1,catch,2,220.214,0.01
1977,2,101,1,catch,2,185.418,0.01
1977,5,102,1,catch,2,95.512,0.01
1977,8,103,1,catch,2,73.046,0.01
1977,11,104,1,catch,2,212.148,0.01
1978,2,105,1,catch,2,202.828,0.01
1978,5,106,1,catch,2,107.354,0.01
1978,8,107,1,catch,2,64.057,0.01
1978,11,108,1,catch,2,161.56,0.01
1979,2,109,1,catch,2,179.523,0.01
1979,5,110,1,catch,2,89.504,0.01
1979,8,111,1,catch,2,56.156,0.01
1979,11,112,1,catch,2,154.575,0.01
1980,2,113,1,catch,2,171.257,0.01
1980,5,114,1,catch,2,75.911,0.01
1980,8,115,1,catch,2,36.87,0.01
1980,11,116,1,catch,2,116.451,0.01
1981,2,117,1,catch,2,152.169,0.01
1981,5,118,1,catch,2,106.932,0.01
1981,8,119,1,catch,2,44.383,0.01
1981,11,120,1,catch,2,151.881,0.01
1982,2,121,1,catch,2,173.316,0.01
1982,5,122,1,catch,2,78.308,0.01
1982,8,123,1,catch,2,41.595,0.01
1982,11,124,1,catch,2,119.264,0.01
1983,2,125,1,catch,2,147.496,0.01
1983,5,126,1,catch,2,71.019,0.01
1983,8,127,1,catch,2,34.709,0.01
1983,11,128,1,catch,2,143.719,0.01
1984,2,129,1,catch,2,168.79,0.01
1984,5,130,1,catch,2,73.966,0.01
1984,8,131,1,catch,2,45.425,0.01
1984,11,132,1,catch,2,142.149,0.01
1985,2,133,1,catch,2,130.927,0.01
1985,5,134,1,catch,2,71.84,0.01
1985,8,135,1,catch,2,36.277,0.01
1985,11,136,1,catch,2,142.322,0.01
1986,2,137,1,catch,2,169.458,0.01
1986,5,138,1,catch,2,103.092,0.01
1986,8,139,1,catch,2,51.381,0.01
1986,11,140,1,catch,2,161.379,0.01
1987,2,141,1,catch,2,192.822,0.01
1987,5,142,1,catch,2,117.661,0.01
1987,8,143,1,catch,2,60.191,0.01
1987,11,144,1,catch,2,199.714,0.01
1988,2,145,1,catch,2,260.342,0.01
1988,5,146,1,catch,2,107.721,0.01
1988,8,147,1,catch,2,66.78,0.01
1988,11,148,1,catch,2,176.273,0.01
1989,2,149,1,catch,2,218.966,0.01
1989,5,150,1,catch,2,107.189,0.01
1989,8,151,1,catch,2,55.501,0.01
1989,11,152,1,catch,2,207.004,0.01
1990,2,153,1,catch,2,202.1,0.01
1990,5,154,1,catch,2,83.624,0.01
1990,8,155,1,catch,2,57.959,0.01
1990,11,156,1,catch,2,152.804,0.01
1991,2,157,1,catch,2,221.075,0.01
1991,5,158,1,catch,2,107.226,0.01
1991,8,159,1,catch,2,66.109,0.01
1991,11,160,1,catch,2,153.722,0.01
1992,2,161,1,catch,2,156.548,0.01
1992,5,162,1,catch,2,74.8,0.01
1992,8,163,1,catch,2,69.17,0.01
1992,11,164,1,catch,2,163.608,0.01
1993,2,165,1,catch,2,199.849,0.01
1993,5,166,1,catch,2,87.997,0.01
1993,8,167,1,catch,2,55.181,0.01
1993,11,168,1,catch,2,156.348,0.01
1994,2,169,1,catch,2,150.709,0.01
1994,5,170,1,catch,2,51.355,0.01
1994,8,171,1,catch,2,57.051,0.01
1994,11,172,1,catch,2,124.895,0.01
1995,2,173,1,catch,2,151.247,0.01
1995,5,174,1,catch,2,73.092,0.01
1995,8,175,1,catch,2,57.439,0.01
1995,11,176,1,catch,2,118.199,0.01
1996,2,177,1,catch,2,96.413,0.01
1996,5,178,1,catch,2,53.012,0.01
1996,8,179,1,catch,2,68.026,0.01
1996,11,180,1,catch,2,133.522,0.01
1997,2,181,1,catch,2,107.189,0.01
1997,5,182,1,catch,2,54.632,0.01
1997,8,183,1,catch,2,88.966,0.01
1997,11,184,1,catch,2,138.221,0.01
1998,2,185,1,catch,2,101.587,0.01
1998,5,186,1,catch,2,66.753,0.01
1998,8,187,1,catch,2,69.636,0.01
1998,11,188,1,catch,2,143.936,0.01
1999,2,189,1,catch,2,104.594,0.01
1999,5,190,1,catch,2,86.309,0.01
1999,8,191,1,catch,2,75.642,0.01
1999,11,192,1,catch,2,133.033,0.01
2000,2,193,1,catch,2,86.372,0.01
2000,5,194,1,catch,2,36.206,0.01
2000,8,195,1,catch,2,47.617,0.01
2000,11,196,1,catch,2,104.699,0.01
2001,2,197,1,catch,2,76.638,0.01
2001,5,198,1,catch,2,47.066,0.01
2001,8,199,1,catch,2,40.837,0.01
2001,11,200,1,catch,2,139.621,0.01
2002,2,201,1,catch,2,81.685,0.01
2002,5,202,1,catch,2,86.908,0.01
2002,8,203,1,catch,2,63.323,0.01
2002,11,204,1,catch,2,116.639,0.01
2003,2,205,1,catch,2,139.685,0.01
2003,5,206,1,catch,2,137.991,0.01
2003,8,207,1,catch,2,85.943,0.01
2003,11,208,1,catch,2,151.635,0.01
2004,2,209,1,catch,2,139.453,0.01
2004,5,210,1,catch,2,103.774,0.01
2004,8,211,1,catch,2,65.983,0.01
2004,11,212,1,catch,2,184.286,0.01
2005,2,213,1,catch,2,182.729,0.01
2005,5,214,1,catch,2,91.988,0.01
2005,8,215,1,catch,2,65.813,0.01
2005,11,216,1,catch,2,166.23,0.01
2006,2,217,1,catch,2,151.894,0.01
2006,5,218,1,catch,2,144.18,0.01
2006,8,219,1,catch,2,92.24,0.01
2006,11,220,1,catch,2,191.141,0.01
2007,2,221,1,catch,2,117.242,0.01
2007,5,222,1,catch,2,66.511,0.01
2007,8,223,1,catch,2,79.615,0.01
2007,11,224,1,catch,2,163.037,0.01
2008,2,225,1,catch,2,159.046,0.01
2008,5,226,1,catch,2,98.454,0.01
2008,8,227,1,catch,2,48.125,0.01
2008,11,228,1,catch,2,117.989,0.01
2009,2,229,1,catch,2,65.928,0.01
2009,5,230,1,catch,2,61.652,0.01
2009,8,231,1,catch,2,39.42,0.01
2009,11,232,1,catch,2,119.595,0.01
2010,2,233,1,catch,2,52.133,0.01
2010,5,234,1,catch,2,45.227,0.01
2010,8,235,1,catch,2,46.555,0.01
2010,11,236,1,catch,2,118.337,0.01
2011,2,237,1,catch,2,101.84,0.01
2011,5,238,1,catch,2,86.71,0.01
2011,8,239,1,catch,2,51.446,0.01
2011,11,240,1,catch,2,114.717,0.01
2012,2,241,1,catch,2,106.999,0.01
2012,5,242,1,catch,2,66.672,0.01
2012,8,243,1,catch,2,40.373,0.01
2012,11,244,1,catch,2,107.453,0.01
2013,2,245,1,catch,2,92.095,0.01
2013,5,246,1,catch,2,38.871,0.01
2013,8,247,1,catch,2,29.338,0.01
2013,11,248,1,catch,2,107.518,0.01
2014,2,249,1,catch,2,90.068,0.01
2014,5,250,1,catch,2,61.025,0.01
2014,8,251,1,catch,2,38.36,0.01
2014,11,252,1,catch,2,142.881,0.01
2015,2,253,1,catch,2,116.984,0.01
2015,5,254,1,catch,2,80.053,0.01
2015,8,255,1,catch,2,49.088,0.01
2015,11,256,1,catch,2,114.959,0.01
2016,2,257,1,catch,2,77.114,0.01
2016,5,258,1,catch,2,91.114,0.01
2016,8,259,1,catch,2,58.126,0.01
2016,11,260,1,catch,2,100.092,0.01
2017,2,261,1,catch,2,101.733,0.01
2017,5,262,1,catch,2,78.449,0.01
2017,8,263,1,catch,2,44.646,0.01
2017,11,264,1,catch,2,141.709,0.01
2018,2,265,1,catch,2,129.558,0.01
2018,5,266,1,catch,2,123.048,0.01
2018,8,267,1,catch,2,37.632,0.01
2018,11,268,1,catch,2,132.661,0.01
1990,11,156,2,catch,2,5.847,0.01
1991,2,157,2,catch,2,19.965,0.01
1991,5,158,2,catch,2,7.662,0.01
1991,8,159,2,catch,2,6.966,0.01
1991,11,160,2,catch,2,16.901,0.01
1992,2,161,2,catch,2,14.959,0.01
1992,5,162,2,catch,2,9.86,0.01
1992,8,163,2,catch,2,4.435,0.01
1992,11,164,2,catch,2,21.585,0.01
1993,2,165,2,catch,2,23.108,0.01
1993,5,166,2,catch,2,12.486,0.01
1993,8,167,2,catch,2,5.86,0.01
1993,11,168,2,catch,2,18.276,0.01
1994,2,169,2,catch,2,19.348,0.01
1994,5,170,2,catch,2,4.942,0.01
1994,8,171,2,catch,2,4.127,0.01
1994,11,172,2,catch,2,28.906,0.01
1995,2,173,2,catch,2,25.662,0.01
1995,5,174,2,catch,2,14.776,0.01
1995,8,175,2,catch,2,6.581,0.01
1995,11,176,2,catch,2,28.319,0.01
1996,2,177,2,catch,2,17.932,0.01
1996,5,178,2,catch,2,12.376,0.01
1996,8,179,2,catch,2,8.537,0.01
1996,11,180,2,catch,2,36.828,0.01
1997,2,181,2,catch,2,31.152,0.01
1997,5,182,2,catch,2,12.384,0.01
1997,8,183,2,catch,2,6.979,0.01
1997,11,184,2,catch,2,38.578,0.01
1998,2,185,2,catch,2,24.143,0.01
1998,5,186,2,catch,2,17.369,0.01
1998,8,187,2,catch,2,14.289,0.01
1998,11,188,2,catch,2,41.813,0.01
1999,2,189,2,catch,2,24.631,0.01
1999,5,190,2,catch,2,15.759,0.01
1999,8,191,2,catch,2,16.829,0.01
1999,11,192,2,catch,2,28.16,0.01
2000,2,193,2,catch,2,20.478,0.01
2000,5,194,2,catch,2,20.769,0.01
2000,8,195,2,catch,2,9.865,0.01
2000,11,196,2,catch,2,19.84,0.01
2001,2,197,2,catch,2,20.41,0.01
2001,5,198,2,catch,2,12.887,0.01
2001,8,199,2,catch,2,7.889,0.01
2001,11,200,2,catch,2,32.994,0.01
2002,2,201,2,catch,2,21.382,0.01
2002,5,202,2,catch,2,21.254,0.01
2002,8,203,2,catch,2,26.394,0.01
2002,11,204,2,catch,2,55.962,0.01
2003,2,205,2,catch,2,33.939,0.01
2003,5,206,2,catch,2,11.798,0.01
2003,8,207,2,catch,2,21.768,0.01
2003,11,208,2,catch,2,34.37,0.01
2004,2,209,2,catch,2,27.57,0.01
2004,5,210,2,catch,2,21.316,0.01
2004,8,211,2,catch,2,25.505,0.01
2004,11,212,2,catch,2,55.984,0.01
2005,2,213,2,catch,2,38.818,0.01
2005,5,214,2,catch,2,18.035,0.01
2005,8,215,2,catch,2,20.634,0.01
2005,11,216,2,catch,2,37.015,0.01
2006,2,217,2,catch,2,29.243,0.01
2006,5,218,2,catch,2,20.384,0.01
2006,8,219,2,catch,2,16.483,0.01
2006,11,220,2,catch,2,46.085,0.01
2007,2,221,2,catch,2,26.933,0.01
2007,5,222,2,catch,2,23.358,0.01
2007,8,223,2,catch,2,25.514,0.01
2007,11,224,2,catch,2,60.702,0.01
2008,2,225,2,catch,2,43.576,0.01
2008,5,226,2,catch,2,24.958,0.01
2008,8,227,2,catch,2,13.378,0.01
2008,11,228,2,catch,2,38.469,0.01
2009,2,229,2,catch,2,23.189,0.01
2009,5,230,2,catch,2,16.155,0.01
2009,8,231,2,catch,2,24.835,0.01
2009,11,232,2,catch,2,31.257,0.01
2010,2,233,2,catch,2,27.59,0.01
2010,5,234,2,catch,2,23.278,0.01
2010,8,235,2,catch,2,21.752,0.01
2010,11,236,2,catch,2,21.067,0.01
2011,2,237,2,catch,2,44.855,0.01
2011,5,238,2,catch,2,29.188,0.01
2011,8,239,2,catch,2,14.826,0.01
2011,11,240,2,catch,2,35.806,0.01
2012,2,241,2,catch,2,34.984,0.01
2012,5,242,2,catch,2,27.256,0.01
2012,8,243,2,catch,2,24.75,0.01
2012,11,244,2,catch,2,46.027,0.01
2013,2,245,2,catch,2,38.307,0.01
2013,5,246,2,catch,2,21.91,0.01
2013,8,247,2,catch,2,13.939,0.01
2013,11,248,2,catch,2,53.252,0.01
2014,2,249,2,catch,2,40.518,0.01
2014,5,250,2,catch,2,24.135,0.01
2014,8,251,2,catch,2,36.877,0.01
2014,11,252,2,catch,2,53.436,0.01
2015,2,253,2,catch,2,51.847,0.01
2015,5,254,2,catch,2,35.356,0.01
2015,8,255,2,catch,2,10.191,0.01
2015,11,256,2,catch,2,51.29,0.01
2016,2,257,2,catch,2,55.395,0.01
2016,5,258,2,catch,2,40.062,0.01
2016,8,259,2,catch,2,13.825,0.01
2016,11,260,2,catch,2,52.965,0.01
2017,2,261,2,catch,2,50.084,0.01
2017,5,262,2,catch,2,27.601,0.01
2017,8,263,2,catch,2,16.069,0.01
2017,11,264,2,catch,2,58.744,0.01
2018,2,265,2,catch,2,45.539,0.01
2018,5,266,2,catch,2,25.135,0.01
2018,8,267,2,catch,2,24.064,0.01
2018,11,268,2,catch,2,57.823,0.01
1958,2,25,3,catch,2,9.822,0.01
1958,5,26,3,catch,2,15.144,0.01
1958,8,27,3,catch,2,12.45,0.01
1958,11,28,3,catch,2,11.761,0.01
1959,2,29,3,catch,2,9.167,0.01
1959,5,30,3,catch,2,10.191,0.01
1959,8,31,3,catch,2,9.354,0.01
1959,11,32,3,catch,2,11.678,0.01
1960,2,33,3,catch,2,7.524,0.01
1960,5,34,3,catch,2,10.769,0.01
1960,8,35,3,catch,2,10.505,0.01
1960,11,36,3,catch,2,7.853,0.01
1961,2,37,3,catch,2,7.919,0.01
1961,5,38,3,catch,2,11.606,0.01
1961,8,39,3,catch,2,11.048,0.01
1961,11,40,3,catch,2,8.11,0.01
1962,2,41,3,catch,2,16.682,0.01
1962,5,42,3,catch,2,13.681,0.01
1962,8,43,3,catch,2,13.442,0.01
1962,11,44,3,catch,2,19.475,0.01
1963,2,45,3,catch,2,11.044,0.01
1963,5,46,3,catch,2,10.588,0.01
1963,8,47,3,catch,2,14.124,0.01
1963,11,48,3,catch,2,15.281,0.01
1964,2,49,3,catch,2,10.46,0.01
1964,5,50,3,catch,2,12.83,0.01
1964,8,51,3,catch,2,12.376,0.01
1964,11,52,3,catch,2,9.554,0.01
1965,2,53,3,catch,2,8.015,0.01
1965,5,54,3,catch,2,10.028,0.01
1965,8,55,3,catch,2,8.383,0.01
1965,11,56,3,catch,2,8.456,0.01
1966,2,57,3,catch,2,6.587,0.01
1966,5,58,3,catch,2,7.444,0.01
1966,8,59,3,catch,2,8.174,0.01
1966,11,60,3,catch,2,6.977,0.01
1967,2,61,3,catch,2,8.195,0.01
1967,5,62,3,catch,2,8.846,0.01
1967,8,63,3,catch,2,9.197,0.01
1967,11,64,3,catch,2,8.927,0.01
1968,2,65,3,catch,2,12.053,0.01
1968,5,66,3,catch,2,14.21,0.01
1968,8,67,3,catch,2,17.325,0.01
1968,11,68,3,catch,2,12.489,0.01
1969,2,69,3,catch,2,13.854,0.01
1969,5,70,3,catch,2,15.79,0.01
1969,8,71,3,catch,2,19.231,0.01
1969,11,72,3,catch,2,14.678,0.01
1970,2,73,3,catch,2,7.122,0.01
1970,5,74,3,catch,2,12.007,0.01
1970,8,75,3,catch,2,8.305,0.01
1970,11,76,3,catch,2,7.757,0.01
1971,2,77,3,catch,2,7.697,0.01
1971,5,78,3,catch,2,11.431,0.01
1971,8,79,3,catch,2,11.235,0.01
1971,11,80,3,catch,2,8.937,0.01
1972,2,81,3,catch,2,10.681,0.01
1972,5,82,3,catch,2,11.715,0.01
1972,8,83,3,catch,2,14.399,0.01
1972,11,84,3,catch,2,12.085,0.01
1973,2,85,3,catch,2,10.524,0.01
1973,5,86,3,catch,2,15.443,0.01
1973,8,87,3,catch,2,14.162,0.01
1973,11,88,3,catch,2,12.622,0.01
1974,2,89,3,catch,2,11.48,0.01
1974,5,90,3,catch,2,15.306,0.01
1974,8,91,3,catch,2,14.821,0.01
1974,11,92,3,catch,2,13.58,0.01
1975,2,93,3,catch,2,23.606,0.01
1975,5,94,3,catch,2,25.397,0.01
1975,8,95,3,catch,2,33.016,0.01
1975,11,96,3,catch,2,27.814,0.01
1976,2,97,3,catch,2,10.931,0.01
1976,5,98,3,catch,2,12.424,0.01
1976,8,99,3,catch,2,11.832,0.01
1976,11,100,3,catch,2,12.209,0.01
1977,2,101,3,catch,2,7.663,0.01
1977,5,102,3,catch,2,10.737,0.01
1977,8,103,3,catch,2,9.592,0.01
1977,11,104,3,catch,2,9.866,0.01
1978,2,105,3,catch,2,12.098,0.01
1978,5,106,3,catch,2,17.803,0.01
1978,8,107,3,catch,2,15.564,0.01
1978,11,108,3,catch,2,17.079,0.01
1979,2,109,3,catch,2,11.23,0.01
1979,5,110,3,catch,2,15.773,0.01
1979,8,111,3,catch,2,19.321,0.01
1979,11,112,3,catch,2,19.426,0.01
1980,2,113,3,catch,2,12.025,0.01
1980,5,114,3,catch,2,13.901,0.01
1980,8,115,3,catch,2,13.864,0.01
1980,11,116,3,catch,2,11.17,0.01
1981,2,117,3,catch,2,12.889,0.01
1981,5,118,3,catch,2,15.645,0.01
1981,8,119,3,catch,2,14.688,0.01
1981,11,120,3,catch,2,14.737,0.01
1982,2,121,3,catch,2,13.448,0.01
1982,5,122,3,catch,2,13.537,0.01
1982,8,123,3,catch,2,12.798,0.01
1982,11,124,3,catch,2,13.573,0.01
1983,2,125,3,catch,2,14.559,0.01
1983,5,126,3,catch,2,15.98,0.01
1983,8,127,3,catch,2,14.886,0.01
1983,11,128,3,catch,2,14.098,0.01
1984,2,129,3,catch,2,15.517,0.01
1984,5,130,3,catch,2,14.422,0.01
1984,8,131,3,catch,2,14.227,0.01
1984,11,132,3,catch,2,14.733,0.01
1985,2,133,3,catch,2,22.699,0.01
1985,5,134,3,catch,2,28.327,0.01
1985,8,135,3,catch,2,21.397,0.01
1985,11,136,3,catch,2,19.109,0.01
1986,2,137,3,catch,2,14.198,0.01
1986,5,138,3,catch,2,22.439,0.01
1986,8,139,3,catch,2,16.354,0.01
1986,11,140,3,catch,2,17.313,0.01
1987,2,141,3,catch,2,20.677,0.01
1987,5,142,3,catch,2,18.727,0.01
1987,8,143,3,catch,2,20.268,0.01
1987,11,144,3,catch,2,21.059,0.01
1988,2,145,3,catch,2,22.623,0.01
1988,5,146,3,catch,2,28.468,0.01
1988,8,147,3,catch,2,27.676,0.01
1988,11,148,3,catch,2,24.973,0.01
1989,2,149,3,catch,2,17.392,0.01
1989,5,150,3,catch,2,18.137,0.01
1989,8,151,3,catch,2,21.131,0.01
1989,11,152,3,catch,2,22.913,0.01
1990,2,153,3,catch,2,28.659,0.01
1990,5,154,3,catch,2,41.09,0.01
1990,8,155,3,catch,2,53.827,0.01
1990,11,156,3,catch,2,28.131,0.01
1991,2,157,3,catch,2,27.673,0.01
1991,5,158,3,catch,2,51.031,0.01
1991,8,159,3,catch,2,47.119,0.01
1991,11,160,3,catch,2,32.704,0.01
1992,2,161,3,catch,2,30.068,0.01
1992,5,162,3,catch,2,40.007,0.01
1992,8,163,3,catch,2,63.742,0.01
1992,11,164,3,catch,2,50.869,0.01
1993,2,165,3,catch,2,32.56,0.01
1993,5,166,3,catch,2,69.527,0.01
1993,8,167,3,catch,2,78.741,0.01
1993,11,168,3,catch,2,49.837,0.01
1994,2,169,3,catch,2,65.21,0.01
1994,5,170,3,catch,2,112.358,0.01
1994,8,171,3,catch,2,114.156,0.01
1994,11,172,3,catch,2,96.379,0.01
1995,2,173,3,catch,2,78.03,0.01
1995,5,174,3,catch,2,84.896,0.01
1995,8,175,3,catch,2,84.019,0.01
1995,11,176,3,catch,2,71.132,0.01
1996,2,177,3,catch,2,76.323,0.01
1996,5,178,3,catch,2,90.494,0.01
1996,8,179,3,catch,2,70.541,0.01
1996,11,180,3,catch,2,72.493,0.01
1997,2,181,3,catch,2,62.516,0.01
1997,5,182,3,catch,2,72.089,0.01
1997,8,183,3,catch,2,100.388,0.01
1997,11,184,3,catch,2,81.487,0.01
1998,2,185,3,catch,2,106.811,0.01
1998,5,186,3,catch,2,120.087,0.01
1998,8,187,3,catch,2,80.625,0.01
1998,11,188,3,catch,2,79.03,0.01
1999,2,189,3,catch,2,80.049,0.01
1999,5,190,3,catch,2,106.589,0.01
1999,8,191,3,catch,2,132.914,0.01
1999,11,192,3,catch,2,114.072,0.01
2000,2,193,3,catch,2,96.844,0.01
2000,5,194,3,catch,2,108.781,0.01
2000,8,195,3,catch,2,141.405,0.01
2000,11,196,3,catch,2,100.069,0.01
2001,2,197,3,catch,2,115.141,0.01
2001,5,198,3,catch,2,103.162,0.01
2001,8,199,3,catch,2,107.353,0.01
2001,11,200,3,catch,2,101.189,0.01
2002,2,201,3,catch,2,68.497,0.01
2002,5,202,3,catch,2,73.182,0.01
2002,8,203,3,catch,2,112.357,0.01
2002,11,204,3,catch,2,96.169,0.01
2003,2,205,3,catch,2,91.364,0.01
2003,5,206,3,catch,2,100.972,0.01
2003,8,207,3,catch,2,113.764,0.01
2003,11,208,3,catch,2,92.751,0.01
2004,2,209,3,catch,2,92.39,0.01
2004,5,210,3,catch,2,83.399,0.01
2004,8,211,3,catch,2,85.168,0.01
2004,11,212,3,catch,2,85.049,0.01
2005,2,213,3,catch,2,62.224,0.01
2005,5,214,3,catch,2,53.277,0.01
2005,8,215,3,catch,2,66.102,0.01
2005,11,216,3,catch,2,69.841,0.01
2006,2,217,3,catch,2,82.808,0.01
2006,5,218,3,catch,2,92.895,0.01
2006,8,219,3,catch,2,114.801,0.01
2006,11,220,3,catch,2,101.629,0.01
2007,2,221,3,catch,2,91.594,0.01
2007,5,222,3,catch,2,94.977,0.01
2007,8,223,3,catch,2,100.084,0.01
2007,11,224,3,catch,2,85.146,0.01
2008,2,225,3,catch,2,96.653,0.01
2008,5,226,3,catch,2,97.876,0.01
2008,8,227,3,catch,2,100.223,0.01
2008,11,228,3,catch,2,102.174,0.01
2009,2,229,3,catch,2,116.165,0.01
2009,5,230,3,catch,2,118.817,0.01
2009,8,231,3,catch,2,115.336,0.01
2009,11,232,3,catch,2,102.959,0.01
2010,2,233,3,catch,2,79.69,0.01
2010,5,234,3,catch,2,69.806,0.01
2010,8,235,3,catch,2,66.468,0.01
2010,11,236,3,catch,2,68.49,0.01
2011,2,237,3,catch,2,96.743,0.01
2011,5,238,3,catch,2,88.763,0.01
2011,8,239,3,catch,2,97.348,0.01
2011,11,240,3,catch,2,119.014,0.01
2012,2,241,3,catch,2,109.651,0.01
2012,5,242,3,catch,2,91.156,0.01
2012,8,243,3,catch,2,114.2,0.01
2012,11,244,3,catch,2,96.164,0.01
2013,2,245,3,catch,2,99.035,0.01
2013,5,246,3,catch,2,83.69,0.01
2013,8,247,3,catch,2,82.69,0.01
2013,11,248,3,catch,2,78.153,0.01
2014,2,249,3,catch,2,120.971,0.01
2014,5,250,3,catch,2,122.825,0.01
2014,8,251,3,catch,2,115.855,0.01
2014,11,252,3,catch,2,137.828,0.01
2015,2,253,3,catch,2,99.035,0.01
2015,5,254,3,catch,2,100.692,0.01
2015,8,255,3,catch,2,90.625,0.01
2015,11,256,3,catch,2,104.755,0.01
2016,2,257,3,catch,2,70.916,0.01
2016,5,258,3,catch,2,62.436,0.01
2016,8,259,3,catch,2,63.808,0.01
2016,11,260,3,catch,2,84.002,0.01
2017,2,261,3,catch,2,51.704,0.01
2017,5,262,3,catch,2,42.99,0.01
2017,8,263,3,catch,2,73.535,0.01
2017,11,264,3,catch,2,64.233,0.01
2018,2,265,3,catch,2,110.434,0.01
2018,5,266,3,catch,2,105.742,0.01
2018,8,267,3,catch,2,108.322,0.01
2018,11,268,3,catch,2,102.564,0.01
1952,2,1,4,catch,2,28.996,0.01
1952,5,2,4,catch,2,39.172,0.01
1952,8,3,4,catch,2,22.253,0.01
1952,11,4,4,catch,2,88.915,0.01
1953,2,5,4,catch,2,65.9,0.01
1953,5,6,4,catch,2,43.978,0.01
1953,8,7,4,catch,2,76.509,0.01
1953,11,8,4,catch,2,57.513,0.01
1954,2,9,4,catch,2,28.949,0.01
